Dataset,Algoritmo,Configuracion,Ejecucion,Hypervolume,Tiempo,Generaciones_Iteraciones,Tamaño_Pareto,Num_Puntos_Pareto,Costo_Medio,Minutos_Medios
users1.json,NSGA-II,uniform_inversion_high_mutation,1,0.6577142992473741,223.48411750793457,100,26,26,1099.5357692307693,494448.7076923081
users1.json,NSGA-II,uniform_inversion_high_mutation,2,0.5785690476271008,244.8651351928711,110,17,17,1130.1564705882352,504491.5470588236
users1.json,NSGA-II,uniform_inversion_high_mutation,3,0.3842988860331179,252.75711607933044,111,33,33,1287.4457575757579,482362.59909090935
users1.json,NSGA-II,uniform_inversion_high_mutation,4,0.31855572346435335,125.55242204666138,55,8,8,1267.9687499999998,490992.9162499998
users1.json,NSGA-II,uniform_inversion_high_mutation,5,0.3005200099933122,130.06320810317993,57,15,15,1271.565333333333,477163.2733333329
users1.json,NSGA-II,uniform_inversion_high_mutation,6,0.5646462282721487,232.3193519115448,102,12,12,1147.493333333333,500075.2583333335
users1.json,NSGA-II,uniform_inversion_high_mutation,7,0.31004223746485626,156.15044593811035,70,18,18,1239.656111111111,464499.9105555555
users1.json,NSGA-II,uniform_inversion_high_mutation,8,0.5429170405192979,145.63916325569153,63,10,10,1068.1180000000002,492164.5339999997
users1.json,NSGA-II,uniform_inversion_high_mutation,9,0.5592945344787749,259.9607825279236,112,8,8,1105.6774999999998,506931.7787499996
users1.json,NSGA-II,uniform_inversion_high_mutation,10,0.7082100365195293,353.2057874202728,154,25,25,1081.6712,503266.68400000036
users1.json,NSGA-II,uniform_inversion_high_mutation,11,0.5513689727578365,169.15485000610352,73,17,17,1086.1499999999999,494522.49411764665
users1.json,NSGA-II,uniform_inversion_high_mutation,12,0.6988943071309693,420.2582597732544,177,7,7,1064.6200000000001,519949.62857142836
users1.json,NSGA-II,uniform_inversion_high_mutation,13,0.6730323797256375,218.1851954460144,93,14,14,1110.5064285714286,514744.68357142777
users1.json,NSGA-II,uniform_inversion_high_mutation,14,0.3246698428428827,159.12017059326172,68,14,14,1240.6599999999999,475022.9007142854
users1.json,NSGA-II,uniform_inversion_high_mutation,15,0.6298091570170536,232.4748101234436,97,16,16,1070.435625,491152.938125
users1.json,NSGA-II,uniform_inversion_high_mutation,16,0.4855558062810388,235.63445568084717,105,14,14,1113.456428571429,484714.4985714282
users1.json,NSGA-II,uniform_inversion_high_mutation,17,0.5326514532813258,298.2816421985626,121,12,12,1137.0199999999998,495863.05083333334
users1.json,NSGA-II,uniform_inversion_high_mutation,18,0.6710919833347007,303.84246826171875,126,15,15,1066.79,507773.996
users1.json,NSGA-II,uniform_inversion_high_mutation,19,0.4884932196926819,335.2677400112152,136,23,23,1238.2534782608695,505801.08260869543
users1.json,NSGA-II,uniform_inversion_high_mutation,20,0.6031116970886521,315.36585450172424,134,14,14,1100.149285714286,498893.9492857144
users1.json,NSGA-II,uniform_inversion_high_mutation,21,0.6065854773251844,170.50089836120605,71,15,15,1100.398,505035.98199999984
users1.json,NSGA-II,uniform_inversion_high_mutation,22,0.5510683436033904,208.93458700180054,89,12,12,1063.235,493923.2075000001
users1.json,NSGA-II,uniform_inversion_high_mutation,23,0.5655927953007679,171.38463020324707,72,6,6,1065.3183333333334,492859.8449999997
users1.json,NSGA-II,uniform_inversion_high_mutation,24,0.7489457869185732,287.50941705703735,122,13,13,999.266923076923,507350.7892307691
users1.json,NSGA-II,uniform_inversion_high_mutation,25,0.4170670965821486,211.44609951972961,91,17,17,1235.3482352941176,497569.53117647045
