dataset,config,num_points,num_pareto_points,num_runs,hypervolume,mean_execution_time,std_execution_time,mean_generations,std_generations,mean_pareto_size,std_pareto_size
users1.json,uniform_inversion_high_mutation,58,13,5,1.2765666290168536,200.1315179824829,40.82631422297091,110.2,22.51577224969199,11.6,5.4258639865002145
users1.json,npoint_inversion_high_all,60,15,5,1.0488137432032658,193.63848385810851,69.42082596280777,106.4,38.37499185667666,12.0,4.2895221179054435
users1.json,npoint_inversion_low_mutation,68,8,5,0.6392039690709737,149.9318407058716,65.8179076170799,82.2,35.72897983430258,13.6,5.276362383309167
users1.json,uniform_reset_high_crossover,137,32,5,0.6271533629127485,85.46514096260071,14.075287672640915,46.8,7.678541528180987,27.4,8.260750571225353
users1.json,uniform_reset_low_mutation,87,15,5,0.6002733199540724,97.70623044967651,24.799675049126893,53.6,13.92264342716569,17.4,5.885575587824865
users1.json,npoint_reset_low_crossover,81,19,5,0.4753765904029432,111.64070916175842,35.91028996999933,62.8,20.643643089338664,16.2,1.9390719429665315
users2.json,uniform_inversion_high_mutation,81,19,5,0.8269389394663391,283.5725992202759,68.08685831832977,84.2,21.921678767831626,16.2,3.7094473981982814
users2.json,npoint_inversion_high_all,109,23,5,0.7145227825516107,382.59531965255735,47.57203214161708,120.0,15.086417732516887,21.8,5.878775382679627
users2.json,uniform_reset_high_crossover,121,27,5,0.6542184913446287,196.5567840576172,57.32092648078508,50.4,6.829348431585549,24.2,3.9698866482558417
users2.json,npoint_reset_low_crossover,63,8,5,0.5984568010133899,217.36668400764466,104.71706787506922,56.2,27.38174574419973,12.6,5.425863986500215
users2.json,uniform_reset_low_mutation,110,20,5,0.5527452849573179,216.35085430145264,36.03451477428427,72.6,12.175385004179539,22.0,6.06630035524124
users2.json,npoint_inversion_low_mutation,92,25,5,0.5066377185203647,228.30118851661683,49.23514802500591,64.6,13.632314550361578,18.4,3.6660605559646715
users3.json,uniform_inversion_high_mutation,81,14,5,0.8974163373831109,690.4139045238495,214.13891578359699,120.8,37.300938325999255,16.2,3.1874754901018454
users3.json,uniform_reset_high_crossover,142,33,5,0.6509097093411874,403.92120571136473,132.44873922916287,70.6,23.42306555513176,28.4,8.8
users3.json,npoint_inversion_high_all,126,31,5,0.6103780293078179,678.1579191207886,193.57842023177736,119.8,34.184206879785876,25.2,3.4871191548325386
users3.json,uniform_reset_low_mutation,105,45,5,0.606669618290808,305.71554198265073,86.04784949806566,56.2,19.86353442869622,21.0,9.939818911831342
users3.json,npoint_inversion_low_mutation,105,18,5,0.3770748409794505,395.45388808250425,142.6935931392301,67.8,24.061587645041215,21.0,3.847076812334269
users3.json,npoint_reset_low_crossover,81,19,5,0.3435794981800654,258.23233394622804,122.72091696018622,43.8,21.19811312357777,16.2,4.1182520563948
users4.json,uniform_inversion_high_mutation,85,45,5,0.949584011735781,1326.4484680652617,341.7617616549503,132.2,39.921923801340036,17.0,8.740709353364863
users4.json,uniform_reset_high_crossover,140,44,5,0.5457241514900496,825.1155065059662,180.00528183721053,88.2,19.29144888285999,28.0,8.988882021697693
users4.json,uniform_reset_low_mutation,98,37,5,0.5387867487323876,757.506709766388,163.94416917884834,81.0,16.14930339054908,19.6,4.409081537009721
users4.json,npoint_inversion_high_all,109,31,5,0.5372874672683667,1075.1491004467011,520.0463398230041,106.6,53.22630928403734,21.8,7.35934779718964
users4.json,npoint_inversion_low_mutation,144,56,5,0.4925285928319706,1096.8820068836212,597.7111000046785,97.0,51.49368893369361,28.8,9.96794863550169
users4.json,npoint_reset_low_crossover,93,34,5,0.3637613277523188,829.1796047210694,551.7102586049166,79.8,51.735481055074764,18.6,6.053098380168622
users5.json,uniform_inversion_high_mutation,93,15,5,0.9499544083750322,2717.5684711456297,858.727322702119,161.6,49.890279614369774,18.6,4.841487374764082
users5.json,npoint_inversion_high_all,174,44,5,0.4892822881936091,3689.5343960762025,1427.978632195416,178.6,72.93997532217844,34.8,6.675327707311455
users5.json,uniform_reset_high_crossover,147,39,5,0.47917267801446894,1354.2303115844727,394.88551389977215,84.8,24.862823652996457,29.4,10.480458005259122
users5.json,uniform_reset_low_mutation,86,18,5,0.38407082883126076,1242.3246182441712,206.17343128743164,79.6,12.8,17.2,4.707440918375928
users5.json,npoint_inversion_low_mutation,116,36,5,0.3161008196740956,1471.6500043392182,407.52535404347464,81.4,19.106019993708788,23.2,4.308131845707604
users5.json,npoint_reset_low_crossover,108,23,5,0.2689957002007594,596.4101212501525,229.98018043909107,35.0,13.813037319865606,21.6,5.083306010855534
